"Index URL



",Document URL,Document date,Document title,Document type,Document Keywords,,
http://www.justice.gov/atr/cases/adobe.htm,http://www.justice.gov/atr/cases/f262600/262660.htm,9/24/2010,Stipulation Exhibit A - [Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/adobe.htm,http://www.justice.gov/atr/cases/f262600/262656.htm,9/24/2010,Plaintiff United States' Explanation of Consent Decree Procedures,Explanation of Consent Decree Procedures,antitrust,,
http://www.justice.gov/atr/cases/adobe.htm,http://www.justice.gov/atr/cases/f262600/262654.htm,9/24/2010,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/advovp0.htm,http://www.justice.gov/atr/cases/f0400/0477.htm,11/11/1994,Amicus Curiae In Support of Appellant,Amicus Curiae Briefs,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f214700/214734.htm,12/7/1999,Revised Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2610.htm,8/4/1999,[Proposed] Revised Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2608.htm,8/4/1999,Stipulation for Entry of Proposed Revised Final Judgment,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2609.htm,8/4/1999,Revised Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2607.htm,8/4/1999,Joint Motion to File Revised Pleadings,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2606.htm,8/4/1999,Joint Motion for Entry of a Revised Hold Separate Stipulation and Order,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2600/2648.htm,8/3/1999,Revised Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2500/2571.htm,7/16/1999,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2500/2505.htm,6/21/1999,Stipulation,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2500/2504.htm,6/21/1999,Hold Separate Stipulation and Order,Hold Separate Stipulations and Orders,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2500/2503.htm,6/21/1999,[Proposed] Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx142.htm,http://www.justice.gov/atr/cases/f2500/2501.htm,6/21/1999,Complaint,Complaints,antitrust,,
